"cat","type","name","book","page","desc","sum","cp1","cp2","cp3","morphtype","morphallowed"
"Trait","Ego Trait","Real World Naivete","EP",151,"Due to their background, the character has very limited personal experience with the real (physical) world—or they have spent so much time in simulspace that their functioning in real life is impaired. They lack an understanding of many physical properties, social cues, and other factors that people with standard human upbringings take for granted. This lack of common sense may lead the character to misunderstand how a device works or to misinterpret someone’s body language. Once per game session, the gamemaster may intentionally mislead the character when giving them a description about some thing or some social interaction. This falsehood represents the character’s misunderstanding of the situation and should be roleplayed appropriately, even if the player realizes the character’s mistake. This trait should only be available to characters with the infolife or re-instantiated backgrounds, though the gamemaster may allow it for characters who have extensive virtual reality/XP use in their personal histories.","Due to their background, the character has little experience with the real world. GM may mislead character because of it.",-10,,,,
"Trait","Ego Trait","Shut In","PO",147,"This character is a social hermit or went through a period of self-imposed isolation, limiting the amount of interactions they have via online social networks. Because the character is out of touch, their ability to network with others is impaired. Apply a ?10 modifier to Networking Tests."," ?10 modifier to Networking Tests.",-15,,,,
"Trait","Ego Trait","Slow Learner","EP",151,"New skills are not easy for this character to pick up. The character takes twice as long as normal to improve skills or learn new ones (p. 152).","Takes twice as long as normal to improve skills or learn new ones (p. 152). ",-10,,,,
"Trait","Ego Trait","Social Stigma","EP",151,"An unfortunate aspect of the character’s background means that they suffer from a stigma in certain social situations. They may be sleeved in a morph viewed with repugnance, be a survivor of the infamous Lost generation, or may be an AGI in a post-Fall society plagued by fear of artificial intelligence. In social situations where the character’s nature is known to someone who view that nature with distaste, fear, or repugnance, they suffer a –10 to –30 modifier (gamemaster’s discretion) to social skill tests."," –10 to –30 modifier (gamemaster’s discretion) to social skill tests.",-10,,,,
"Trait","Ego Trait","Stalker","PO",147,"A voyeur obsessively stalks this character’s actions online. The gamemaster and player should work out details of the stalker together, and the gamemaster should use the stalker as a plot element to create occasional nuisances and challenges. The stalker could, for example, be a fan who over-appreciates the character’s work and pesters them or a unknown entity that follows the character’s actions religiously and posts the details to an online log.","A voyeur obsessively stalks this character’s actions online.",-10,,,,
"Trait","Ego Trait","Stolen Identity","PO",147,"Someone stole this character’s identity and took advantage of their name, reputation, background—the works. Though this happened in the past, the situation was never fully resolved and the character is plagued with collateral difficulties from the theft. The gamemaster and player should work out details of the incident together, and the gamemaster should use this to occasionally hinder the character or create complications. For example, the character may have to deal with criminal charges against them in one habitat, angry thugs looking for payback on another, and so on.","Someone stole this character’s identity and took advantage of their name, reputation, background.",-10,,,,
"Trait","Ego Trait","Timid","EP",151,"This character frightens easily. They suffer a –10 modifier when resisting fear or intimidation.","–10 modifier when resisting fear or intimidation.",-10,,,,
"Trait","Ego Trait","VR Vertigo","EP",152,"The character experiences intense vertigo and nausea when interfacing with any type of virtual reality, XP, or simulspace. Augmented reality has no effect, but VR inflicts a –30 modifier to all of the character’s actions. Prolonged use of VR (gamemaster’s discretion) may actually incapacitate the character should they fail a WIL × 2 Test. ","VR inflicts a –30 modifier to all of the character’s actions. Prolonged use of VR may incapacitate the character if they fail a WIL × 2 Test.",-10,,,,
"Trait","Ego Trait","Wait, That Was You?","PO",147,"This character was the unfortunate star of a viral meme that swept through the solar system’s mesh networks—provoking anger, disgust, or mockery towards them. To this day, strangers who access the character’s social profile are likely to connect them to that meme, coloring their perception of the character. Once per game session, the gamemaster may decide that a stranger with whom the character is interacting and who has access to the character’s online public profile makes the connection. The character suffers a one-time ?20 modifier to any social skill or Networking Test with that stranger.","Once per game session, the gamemaster may give player a one-time -20 penalty to any social skill or Networking Test with a stranger.",-10,,,,
"Trait","Morph Trait","Coronal Adaptation (Biomorph)","SW",164,"For biomorphs, this radical alteration enables the subject’s metabolism to live off solar energy, using medichines to repair radiation damage. This same metabolism also generates powerful electro­magnetic fields that protect the character from the intense temperatures and radiation in the coronal environment and even enable the character to sail the solar winds. Morphs with this adaptation cannot survive outside the coronal environment (or similar environments) for more than a few days without extensive medical support. Coronal adaptation can only be applied to morphs that also have medichines (p. 308, EP).","Protects character from intense temperatures and radiation in the coronal environment and enables the character to sail solar winds. Requires medichines.",30,,,1,
"Trait","Morph Trait","Coronal Adaptation (Synthmorph)","SW",164,"For synthmorphs, this adaptation restructures the morph’s composition with heat-resistant materials capable of surviving superheated plasma and shielded against radiation. The shell is also equipped with refractive metamaterials and a perfectly mirrored surface, giving it an albedo of nearly one. The reflective surface protects the wearer from well over 99% of the radiant energy that falls upon it, but a powerful cooling system and extensive radiation shielding are required for the minuscule percentage of energy that slips through. Generated electromagnetic fields also protect the morph and enable propulsion along solar magnetic lines. This adaptation provides a +10 modifier to the biomorph’s Free Fall skill tests in the presence of strong electromagnetic fields. It also provides 10 points of Energy armor against heat and electromagnetic-based attacks (such as lasers, microwaves, and plasma weapons, but not explosions).","Reflects 99% of the sun's radiant energy, +10 modifier to Free Fall near strong electric fields, +10 energy armor vs heat/electromagnetic attacks.",30,,,2,
"Trait","Morph Trait","Eidetic Memory","EP",146,"Much like a computer, the character has perfect memory recall. They can remember anything they have sensed, often even from a single glance. This works the same as the eidetic memory implant (p. 301). ","Character has perfect memory recall, same as the eidetic memory implant (p. 301). ",10,,,,
"Trait","Morph Trait","Exceptional Aptitude","EP",146,"As an ego trait, the character may raise the maximum for a particular chosen aptitude to 40 rather than 30 (p. 122). As a morph trait, it raises the morph aptitude maximum (p. 124) for a particular chosen aptitude by 10 (30 for flats, 35 for splicers, 40 for all others). Note that this trait just raises the maximum, it does not give the character 10 more aptitude points. This trait may only be taken by a morph or ego once. ","Raises the morph aptitude max. (p. 124) for an aptitude by 10. Just raises the max., does not give 10 more aptitude points. ",20,,,,
"Trait","Morph Trait","High-Temperature Operation","SW",165,"This morph has been designed to operate only in high-temperature environments, enabling them to withstand temperatures up to 1,000 C. This morph loses 1 point of COO for every 5 minutes it spends at temperatures lower than 250 C, and 1 point of COO for every minute that it spends below 150 C. When its COO equals zero the morph becomes completely immobile. This same penalty is applied to all COO-based skill rolls. The morph’s cyberbrain and mesh access still work in these circumstances, but the morph cannot physically move under its own power. Even if placed back in higher temperatures, if it was previously reduced to total immobility, the morph halves its COO and SOM (round down) until it has been serviced. This trait may only be applied to synthmorphs. It provides 5 points of Energy armor against heat-based attacks (such as lasers, microwaves, and plasma weapons, but not explosions).","Takes massive penalties if not in high heat environs. +5 energy armor vs heat/electromagnetic attacks. Only for Synthmorphs.",10,,,2,
"Trait","Morph Trait","Improved Immune System","EP",146,"The morph’s immune system is robust and more resistant to diseases, drugs, and toxins—even more than basic biomods. At Level 1, apply a +10 modifier whenever making a test to resist infection or the effects of a toxin or drug. At Level 2, increase this modifier to +20. This trait is only available to biomorphs.","+10/level to resist diseases, drugs, and toxins. Only for biomorphs.",10,20,,1,
"Trait","Morph Trait","Innocuous","EP",146,"In an age when exotic appearances and good looks are commonplace, the morph’s look is surprisingly bland and undistinguished, in that cookie cutter sort of way. The character’s physical looks are so mundane that others have a hard time picking them out of a crowd, describing their appearance, or otherwise remembering physical details. Apply a –10 modifier to all tests made to spot, describe, or remember the character. This modifier does not apply to psi or mesh searches. ","–10 to all tests made to spot, describe, or remember the character. Does not apply to psi or mesh searches.",10,,,,
"Trait","Morph Trait","Limber","EP",146,"The morph is especially flexible and supple, capable of graceful contortions and interesting positions. At Level 1, the character can smoke with their toes, do the splits, and squeeze into small, cramped spaces. At Level 2, they are double-jointed escape artists. Each level provides a +10 modifier to escaping from bonds, fitting into narrow confines, and other acts relying on contortion or flexibility. This trait is only available to biomorphs. ","+10/level to escaping from bonds, fitting into narrow confines, and other acts relying on contortion or flexibility. Only for biomorphs. ",10,,,1,
"Trait","Morph Trait","Natural Immunity","EP",146,"The morph has a natural immunity to a specific drug, disease, or toxin. When afflicted with that specific chemical, poison, or pathogen, the character remains unaffected. This immunity may not be applied to nanodrugs or nanotoxins and at the game­master’s discretion may not be applied to other specific agents. This trait is only available to biomorphs. ","Morph has natural immunity to a specific drug, disease, or toxin. May not be applied to nanodrugs or nanotoxins. Only for biomorphs. ",10,,,1,
"Trait","Morph Trait","Pain Tolerance","EP",146,"The character has a high threshold for pain toler­ance and is better at ignoring the effects of pain on their abilities and concentration. Level 1 allows them to ignore the –10 modifier from 1 wound. Level 2 allows them to ignore the –10 modifiers from 2 wounds. This trait is only available for biomorphs. ","Ignore -10 modifier from 1 wound per level. Only for biomorphs. ",10,20,,,
"Trait","Morph Trait","Psi Chameleon","EP",147,"The character’s mental state is naturally resistant to psi sensing. Apply a –10 modifier to any attempts to locate or detect the character via psi sleights. ","–10 modifier to to locate or detect the character via psi sleights.",10,,,,
"Trait","Morph Trait","Psi Defense","EP",147,"The character’s mind is inherently resistant to mental attacks. At Level 1, apply a +10 modifier to all defense tests made against psi attacks. At Level 2, apply a +20 modifier. ","+10 modifier per level to all defense tests made against psi attacks. ",10,20,,,
"Trait","Morph Trait","Rapid Healer","EP",147,"The morph recovers from damage more quickly. Reduce the timeframes for healing by half, as noted on the Healing table, p. 208. This trait is only available to biomorphs. ","Halves healing time, as noted on the Healing table, p. 208. Only for biomorphs. ",10,,,1,
"Trait","Morph Trait","Striking Looks","EP",148,"In an age where biosculpting is easy, good looks are both cheap and commonplace. This morph, however, possesses a physical look that can only be described as striking and unusual, but also somehow alluring and fascinating—even the gorgeous and chiseled glitterati take notice. On social skill tests where the character’s beauty may affect the outcome, they receive a +10 (for Level 1) or +20 (for Level 2) modifier. This modifier is ineffective against xenomorphs or those with the infolife or uplift backgrounds. This trait is only available to biomorphs. This modifier may be purchased for uplift morphs, but at half the cost, and it is only effective against characters with that specific uplift background (i.e., neo-avians, neo-hominids, etc.). The one drawback to this trait is that the character is more easily noticed and remembered. ","+10/level on social skill tests where beauty may affect the outcome. Ineffective vs xenomorphs or those with the infolife or uplift backgrounds. Only for biomorphs.",10,20,,1,
"Trait","Morph Trait","Striking Looks (uplift)","EP",148,"In an age where biosculpting is easy, good looks are both cheap and commonplace. This morph, however, possesses a physical look that can only be described as striking and unusual, but also somehow alluring and fascinating—even the gorgeous and chiseled glitterati take notice. On social skill tests where the character’s beauty may affect the outcome, they receive a +10 (for Level 1) or +20 (for Level 2) modifier. This modifier is ineffective against xenomorphs or those with the infolife or uplift backgrounds. This trait is only available to biomorphs. This modifier may be purchased for uplift morphs, but at half the cost, and it is only effective against characters with that specific uplift background (i.e., neo-avians, neo-hominids, etc.). The one drawback to this trait is that the character is more easily noticed and remembered. ","+10/level on social skill tests where beauty may affect the outcome. Only effective vs. a specific uplift background (i.e., neo-avians, etc.). Only for uplifts.",5,10,,1,
"Trait","Morph Trait","Tough","EP",148,"This morph is resilient than others of its type and can take more physical abuse. Increase their Durability by +5 per level (+5 at Level 1, +10 at Level 2, and +15 at Level 3). This also increases Wound Threshold by +1, +2, and +3 respectively. ","+5 durability and +1 Wound Threshold per level.",10,20,30,,
"Trait","Morph Trait","Addiction","EP",148,"Addiction comes in two forms: mental (affecting the ego) and physical (affecting the biomorph). The character or morph is addicted to a drug (p. 317), stimulus (XP), or activity (mesh use) to a degree that impacts the character’s physical or mental health. Players and gamemasters should work together to agree on addictions that are appropriate for their game. Addiction comes in three levels of severity: minor, moderate, or major: Minor: A minor addiction is largely kept under control—it does not ruin the character’s life, though it may create some difficulties. The character may not even recognize or admit they have a problem. The character must indulge the addiction at least once a week, though they can go for longer without too much difficulty. If they fail to get their weekly dose, they suffer a –10 modifier on all actions until they get their fix. Moderate: A moderate addiction is in full swing. The character obviously has a problem, and must satisfy the addiction at least once a day. If they fail to do so, they may suffer mood swings, compulsive behavior, physical sickness, or other side effects until they indulge their craving. Apply a –20 modifier to all of the character’s actions until they get their fix. Additionally, a character with this level of addiction suffers a penalty of –5 DUR (physical addiction) or –10 to Willpower Stress Tests (mental addiction). Major: A character with a major addiction is on the rapid road to ruin. They face cravings every 6 hours and suffer a penalty of –10 DUR (physical addiction) or –20 to Willpower Stress Tests (mental addiction). If they fail to get their regular dosage, they suffer a –30 modifier on all actions until they do. If their life hasn’t already been ruined by their obsession, it soon will be. ","Addicted to specific substance and needs a fix or suffers penalties. Severity depends on addiction level.",-10,-20,-30,,
"Trait","Morph Trait","Aged","EP",148,"The morph is physically aged and has not been rejuvenated. Old morphs are increasingly uncommon, though some people adopt them hoping to gain an air of seniority and respectability. Reduce the character’s aptitude maximums by 5, and apply a –10 modifier on all physical actions. This trait may only be applied to flat and splicer morphs. "," -5 to aptitude maximums and –10 modifier on all physical actions. Only for flat and splicer morphs. ",-10,,,1,"Flat,Splicer"
"Trait","Morph Trait","Alien Biochemistry","GC",153,"It is an impressive feat that creatures that evolved on separate worlds with different biochemistries are now being transformed into pods by transhuman geneticists. In fact, the biochemistries of these creatures are far less understood than that of transhumans. What this means is that drugs, chemicals, bioware augmentations, and cybernetic implants may have unpredictable effects on the pod. Drug treatments beneficial to transhumans may not function at all, for example, while something that transhumans regularly eat or handle may in fact be toxic to the pod and trigger an anaphylactic response. The gamemaster decides when this factor will play a role, based on the pod biochemistry’s similarity to that of transhumans and numerous other factors. Certain augmentations may simply not be available, having not yet been invented for the alien physiology in question. While efforts have been made to provide these pods with their equivalent of basic biomods, the full protec­tions offered by those enhancements may simply not be available. This means that the pod may or may not be vulnerable to such things as disease, aging, lack of sleep, long-term exposure to microgravity, shock from injuries, allergies, or other biological problems that transhumanity has attempted to eradicate. Likewise, the pod might not be able to heal quickly or regen­erate limbs. It is also possible that the pod may be burdened with unusual biological problems inherent to its species, such as bizarre gastrointestinal issues, hacking up hairballs, respiratory distress, or an alien version of leukemia. Gamemasters are encouraged to be inventive. Morphs with alien biochemistry count as exotic and inflict –30 modifiers to Alienation and Integrity Tests (p. 272, EP). This trait is only available to pods created from alien life. ","Morph counts as exotic and inflicts –30 modifiers to Alienation and Integrity Tests (p. 272, EP). Only available to pods created from alien life.",0,,,3,"Alien"
"Trait","Morph Trait","Fast Metabolism","SW",165,"The morph’s metabolism runs hot, requiring the character to eat two to three times as much food as a normal character with similar body mass. Food tends to be plentiful and cheap in most transhuman settlements, but this trait can pose a problem in remote areas or when visiting settlements with limited resources. The character must plan ahead and pack enough food on expeditions. If the character is eating off their rep, they must expend two trivial favors each day for the additional food they require. If the character is unable to obtain enough food, they lose SOM at the rate of one point per day until they resume their usual caloric intake. This trait is only available for biomorphs (including uplifts and pods). ","Lose SOM at the rate of 1/day if they don't get high caloric intake. Only for biomorphs (including uplifts and pods).",-5,,,1,
"Trait","Morph Trait","Frail","EP",149,"This morph is not as resilient as others of its type. Its Durability is reduced by 5 per level. This also reduces Wound Threshold by 1 or 2, respectively. ","-5 durability and -1 Wound Threshold per level.",-10,-20,,,
"Trait","Morph Trait","Genetic Defect","EP",149,"The morph is not genefixed, and in fact suffers from a genetic disorder or other impairing mutation. The player and gamemaster should agree on a defect appropriate to their game. Some possibilities include: heart disease, diabetes, cystic fibrosis, sickle-cell disease, hypertension, hemophilia, or color blindness. A genetic disorder that creates minor complications and/or occasional health problems would be worth 10 CP, a defect that significantly impairs the character’s regular functioning or that inflicts chronic health problems is worth 20 CP. The gamemaster must determine the exact effects of the disorder on gameplay, as appropriate. This trait is only available for flats.","Has a genetic disorder or mutation. Only available for flats.",-10,-20,,1,"Flat"
"Trait","Morph Trait","Impaired Hearing","PO",145,"This trait is only available to octomorphs. This morph lacks the transgenic hearing modifications of modern octomorph designs. The morph can only hear low sounds in the 400–1,000 Hertz range (as opposed to the 20–20,000 Hertz range enjoyed by most transhumans) and hears poorly when not underwater. Apply a ?30 modifier to any hearing-based Perception Tests. At the gamemaster’s discretion, certain medium and high-frequency sounds may be inaudible as they are outside the morph’s range. This lack of hearing may be compensated for with audio implants or microphones and mesh inserts.","?30 to hearing-based Perception Tests. May be compensated for with audio implants or microphones and mesh inserts. Only for Octomorphs.",-5,,,4,"Octomorph"
"Trait","Morph Trait","Implant Rejection","EP",150,"This morph does not accept implants well. At Level 1, any implants acquired are more expensive as they required specialized anti-rejection treatments. Increase the Cost category of the implant by one. At Level 2, the morph cannot accept implants of any kind.","At Lvl 1, increase the Cost category of implant purchase by one. At Lvl 2, the morph cannot accept implants of any kind. Only for Biomorphs.",-5,-15,,1,
"Trait","Morph Trait","Lemon","EP",150,"This trait is only available for synthetic morphs. This particular morph has some unfixable flaws. Once per game session (preferably at a time that will maximize drama or hilarity), the gamemaster can call for the character to make a MOX × 10 Test (using their current Moxie score). If the character fails, the morph immediately suffers 1 wound resulting from some mechanical failure, electrical glitch, or other breakdown. This wound may be repaired as normal.","Once per game session, the gm can call for a MOX × 10 Test. Failure causes 1 wound. Only for synthmorphs.",-10,,,2,
"Trait","Morph Trait","Low Pain Tolerance","EP",150,"Pain is the character’s enemy. The character has a very low threshold for pain tolerance and is more severely impaired when suffering. Increase the modi­fier for each wound take by an additional –10 (so the character suffers –20 with one wound, –40 with another, and –60 with a third). Additionally, the character suffers a –30 modifier on any test involving pain resistance. The morph version of this trait is only available for biomorphs. ","Additional –10 per wound. Also, character suffers a –30 modifier on any test involving pain resistance. The morph version is only for biomorphs. ",-20,,,1,
"Trait","Morph Trait","Mild Allergy","EP",150,"The morph is allergic to a specific chosen allergen (dust, dander, plant pollen, certain chemicals) and suffers mild discomfort when exposed to it (eye irritation, sneezing, difficult breathing). Apply a –10 modifier to all tests while the character remains exposed. This trait is only available for biomorphs.","–10 modifier to all tests while the character remains exposed to particular allergen. Only for biomorphs. ",-10,,,1,
"Trait","Morph Trait","No Cortical Stack","EP",151,"The morph lacks the cortical stack that is common to morphs of its type. This means the character cannot be resleeved from the cortical stack if the character dies, they can only be resleeved from a standard backup. This trait is not available for flats. ","Character cannot be resleeved from the cortical stack if the character dies, only from backup. Not for flats.",-10,,,-1,"Flat"
"Trait","Morph Trait","Planned Obsolescence","SW",165,"The morph is a hypercorp model that requires periodic GSP (Genetic Service Pack) therapy. For every three months of game time, the character must spend credits equal to 10% the cost of the morph on GSP “upgrades.” If they fail to do so, the morph’s SOM is reduced by 5 until the character gets their GSP therapy. These penalties are cumulative over time (at 6 months, 9 months, etc.), but getting GSP therapy once removes all penalties. The character suffers no SOM loss if the majority of a given 3 month period was spent in hibernation, in a healing vat, or in some other form of metabolic suspension. The SOM reduction is due to low level neural degradation, minor tumors, joint pain, and other problems that crop up and express later as hypercorp genetic designers working on tight budgets and tighter deadlines race to release morph models with extra value-added features. While theoretically over many years this trait would lead to the early death of the morph, in game terms the morph stops accruing penalties when its SOM is reduced to 5. The character regains their normal SOM score if they resleeve. This trait is only available to biomorphs (including uplifts and pods).","Every three months, character must pay 10% the cost of the morph or suffer massive penalties (p165). Only for biomorphs (including uplifts and pods).",-5,,,1,
"Trait","Morph Trait","Psi Vulnerability","EP",151,"Something about the character’s mind makes them particularly vulnerable to psi attack. They suffer a –10 modifier when resisting such attacks. The morph version of this trait may only be taken by biomorphs. "," –10 modifier when resisting psi attacks. Morph version only for biomorphs. ",-10,,,1,
"Trait","Morph Trait","Severe Allergy","EP",151,"The morph’s biochemistry suffers a severe allergic reaction (anaphylaxis) when it comes into contact (touched, inhaled, or ingested) with a specific allergen. At Level 2, the allergen may be common (dust, dander, plant pollen, certain foods, latex) or at Level 1, uncommon (certain drugs, insect stings). The player and gamemaster should agree on an allergen that fits the game. If exposed to the allergen, the character breaks into hives, has difficulty to breathing (–30 modifier to all actions), and must make a DUR Test or go into anaphylactic shock (dying of respiratory failure in 2d10 minutes unless medical care is applied). This trait is only available to biomorphs."," If exposed to a specific allergen, –30 to all actions, and makes a DUR Test or die in 2d10 minutes unless medical care is applied. Only for biomorphs.",-10,-20,,1,
"Trait","Morph Trait","Social Stigma","EP",151,"An unfortunate aspect of the character’s background means that they suffer from a stigma in certain social situations. They may be sleeved in a morph viewed with repugnance, be a survivor of the infamous Lost generation, or may be an AGI in a post-Fall society plagued by fear of artificial intelligence. In social situations where the character’s nature is known to someone who view that nature with distaste, fear, or repugnance, they suffer a –10 to –30 modifier (gamemaster’s discretion) to social skill tests."," –10 to –30 modifier (gamemaster’s discretion) to social skill tests.",-10,,,,
"Trait","Morph Trait","Unattractive","EP",151,"In a time when good looks are easily purchased, this morph is conspicuously ugly. As unattractiveness is increasingly associated with being poor, backward, or genetically defective, responses to a lack of good looks range from distaste to horror. The character suffers a –10 modifier on social tests for Level 1, –20 for Level 2, and –30 for Level 3. Only biomorphs may take this trait. This modifier does not apply to interactions with xenomorphs or those with the infolife or uplift backgrounds. This modifier may be purchased for uplift morphs, but at half the bonus, and it is only effective against characters with that specific uplift background (i.e., neo-avians, neo-hominids, etc.).","-10/level on social tests. Ineffective vs xenomorphs or those with the infolife or uplift backgrounds. Only for biomorphs.",-10,-20,-30,1,
"Trait","Morph Trait","Unattractive (uplift)","EP",151,"In a time when good looks are easily purchased, this morph is conspicuously ugly. As unattractiveness is increasingly associated with being poor, backward, or genetically defective, responses to a lack of good looks range from distaste to horror. The character suffers a –10 modifier on social tests for Level 1, –20 for Level 2, and –30 for Level 3. Only biomorphs may take this trait. This modifier does not apply to interactions with xenomorphs or those with the infolife or uplift backgrounds. This modifier may be purchased for uplift morphs, but at half the bonus, and it is only effective against characters with that specific uplift background (i.e., neo-avians, neo-hominids, etc.).","-10/level on social tests. Only effective vs. a specific uplift background (i.e., neo-avians, neo-hominids, etc.). Only for biomorphs.",-10,-20,-30,1,
"Trait","Morph Trait","Uncanny Valley","EP",151,"There is a point where synthetic human looks become uncannily realistic and human-seeming, but they remain just different enough that their looks seem creepy or even repulsive—a phenomenon called the “uncanny valley.” Morphs whose looks fall into this range suffer a –10 modifier on social skill tests when dealing with humans. This modifier does not apply to interactions with xeno­morphs or those with the infolife or uplift backgrounds.","–10 modifier on social tests dealing with humans. Does not apply to interactions with xeno­morphs or those with infolife or uplift backgrounds.",-10,,,,
"Trait","Morph Trait","Unfit","EP",152,"The morph is either not optimized for health and/or just in bad shape. Reduce the aptitude maximums for Coordination, Reflexes, and Somatics by 5 (Level 1 ) or 10 (Level 2).","-5/lvl to aptitude maximums for Coordination, Reflexes, and Somatics",-10,-20,,,
"Trait","Morph Trait","Weak Grip","PO",148,"This trait is only available to neo-avian and neo-pig morphs. The physiology of this particular morph is flawed in that the opposable digits on the hands are not fully formed or operational. A character in this morph loses their damage bonus in melee attacks and suffers a ?10 modifier on subdual tests (p. 204, EP) and any other tests involving their grip, hand strength, or ability to hold on.","No damage bonus in melee attacks and ?10 on subdual tests (p. 204, EP) and any other tests involving their grip. Only for neo-avian and neo-pig morphs.",-10,,,4,"Neo-Avian,Neo-Pig"
"Trait","Morph Trait","Weak Immune System","EP",152,"The morph’s immune system is susceptible to diseases, drugs, and toxins. At Level 1, apply a –10 modifier whenever making a test to resist infection or the effects of a toxin or drug. At Level 2, increase this modifier to –20. This trait is only available to biomorphs. ","-10/level to resist diseases, drugs, and toxins. Only for biomorphs.",-10,-20,,1,
"Trait","Morph Trait","Zero-G Nausea","EP",152,"This morph suffers from space sickness and does not fair well in zero gravity. The character suffers a –10 modifier in any microgravity climate. Additionally, whenever the character is first getting acclimated or anytime they must endure excessive movement in microgravity, they must make a WIL Test or spend 1 hour incapacitated by nausea per 10 points of MoF."," –10 modifier in microgravity. Whenever first acclimated or when moving a lot in microgravity, make a WIL Test or spend 1 hour incapacitated per 10 points of MoF.",-10,,,,
